scenario,month,csf,csf_low,csf_high,cast,cast_low,cast_high,truth,unadjusted
plateau_conf0.00_unmeas0.00,12,0.0775,0.0506,0.1044,0.0802,0.0533,0.1071,0.056,0.0779
plateau_conf0.00_unmeas0.00,36,0.1913,0.1516,0.2309,0.1456,0.1151,0.1761,0.1408,0.1922
plateau_conf0.00_unmeas0.00,60,0.1848,0.1428,0.2269,0.1789,0.1408,0.2171,0.1647,0.1857
plateau_conf0.00_unmeas0.00,84,0.1516,0.1104,0.1929,0.1802,0.1422,0.2182,0.161,0.1542
plateau_conf0.00_unmeas0.00,108,0.1496,0.1096,0.1896,0.1495,0.1095,0.1895,0.1473,0.1501
plateau_conf0.00_unmeas0.75,12,0.0535,0.0269,0.0801,0.0559,0.0293,0.0825,0.0601,0.0536
plateau_conf0.00_unmeas0.75,36,0.168,0.1279,0.2081,0.1319,0.1016,0.1623,0.1362,0.1669
plateau_conf0.00_unmeas0.75,60,0.1807,0.138,0.2235,0.1768,0.1379,0.2157,0.155,0.1761
plateau_conf0.00_unmeas0.75,84,0.1706,0.1275,0.2136,0.1905,0.1505,0.2305,0.151,0.1646
plateau_conf0.00_unmeas0.75,108,0.1708,0.1287,0.2128,0.1731,0.1311,0.2152,0.1387,0.1654
plateau_conf0.00_unmeas1.50,12,0.1728,0.1428,0.2028,0.1759,0.1459,0.2058,0.0663,0.1721
plateau_conf0.00_unmeas1.50,36,0.3157,0.2755,0.3559,0.2813,0.2496,0.313,0.1251,0.3147
plateau_conf0.00_unmeas1.50,60,0.3433,0.3012,0.3853,0.3356,0.2965,0.3748,0.1355,0.344
plateau_conf0.00_unmeas1.50,84,0.3191,0.2764,0.3619,0.3388,0.2985,0.3791,0.1316,0.323
plateau_conf0.00_unmeas1.50,108,0.2917,0.249,0.3344,0.291,0.2483,0.3336,0.1231,0.2979
plateau_conf0.50_unmeas0.00,12,0.0498,0.0223,0.0773,0.0499,0.0224,0.0774,0.0547,0.0853
plateau_conf0.50_unmeas0.00,36,0.1321,0.0914,0.1729,0.1297,0.0975,0.162,0.1375,0.223
plateau_conf0.50_unmeas0.00,60,0.173,0.1295,0.2164,0.175,0.1349,0.2152,0.1641,0.2779
plateau_conf0.50_unmeas0.00,84,0.1863,0.1427,0.2299,0.1857,0.1458,0.2257,0.1629,0.288
plateau_conf0.50_unmeas0.00,108,0.1621,0.1196,0.2045,0.1619,0.1195,0.2043,0.1504,0.2585
plateau_conf0.50_unmeas0.75,12,0.078,0.0495,0.1065,0.0782,0.0497,0.1067,0.0589,0.1193
plateau_conf0.50_unmeas0.75,36,0.1728,0.1321,0.2136,0.1688,0.1373,0.2002,0.1358,0.2665
plateau_conf0.50_unmeas0.75,60,0.2456,0.2018,0.2894,0.2166,0.1774,0.2558,0.1554,0.343
plateau_conf0.50_unmeas0.75,84,0.2047,0.1621,0.2473,0.2217,0.1818,0.2616,0.1517,0.3143
plateau_conf0.50_unmeas0.75,108,0.185,0.1429,0.2272,0.1841,0.142,0.2263,0.1398,0.2822
plateau_conf0.50_unmeas1.50,12,0.1358,0.1062,0.1654,0.1387,0.1092,0.1683,0.0619,0.1757
plateau_conf0.50_unmeas1.50,36,0.2783,0.237,0.3197,0.2303,0.1981,0.2625,0.1225,0.352
plateau_conf0.50_unmeas1.50,60,0.2936,0.2502,0.3369,0.2842,0.2442,0.3243,0.1357,0.3768
plateau_conf0.50_unmeas1.50,84,0.2768,0.2332,0.3204,0.3004,0.2592,0.3417,0.1332,0.3657
plateau_conf0.50_unmeas1.50,108,0.2787,0.2356,0.3218,0.279,0.2359,0.3221,0.1256,0.3549
plateau_conf1.00_unmeas0.00,12,0.0437,0.0169,0.0706,0.0431,0.0163,0.07,0.0577,0.1179
plateau_conf1.00_unmeas0.00,36,0.1381,0.098,0.1783,0.1411,0.1098,0.1723,0.1391,0.2997
plateau_conf1.00_unmeas0.00,60,0.188,0.1454,0.2305,0.1967,0.1573,0.2362,0.1629,0.3695
plateau_conf1.00_unmeas0.00,84,0.2197,0.1768,0.2627,0.2101,0.1708,0.2495,0.1604,0.3918
plateau_conf1.00_unmeas0.00,108,0.1815,0.1397,0.2232,0.1813,0.1395,0.223,0.1474,0.3392
plateau_conf1.00_unmeas0.75,12,0.0793,0.0529,0.1058,0.0794,0.0529,0.1059,0.0579,0.1368
plateau_conf1.00_unmeas0.75,36,0.1805,0.1395,0.2216,0.1732,0.1412,0.2052,0.1338,0.3206
plateau_conf1.00_unmeas0.75,60,0.2191,0.1739,0.2643,0.2258,0.1845,0.267,0.1539,0.3754
plateau_conf1.00_unmeas0.75,84,0.2372,0.1911,0.2834,0.2371,0.1944,0.2798,0.152,0.3905
plateau_conf1.00_unmeas0.75,108,0.2066,0.1607,0.2524,0.2073,0.1615,0.2531,0.1416,0.3547
plateau_conf1.00_unmeas1.50,12,0.1167,0.0879,0.1454,0.1179,0.0892,0.1467,0.0624,0.1646
plateau_conf1.00_unmeas1.50,36,0.2818,0.2408,0.3228,0.2546,0.2219,0.2873,0.1258,0.3699
plateau_conf1.00_unmeas1.50,60,0.3301,0.2853,0.375,0.3289,0.2877,0.3702,0.1401,0.4266
plateau_conf1.00_unmeas1.50,84,0.3239,0.2781,0.3696,0.341,0.2982,0.3838,0.1368,0.4149
plateau_conf1.00_unmeas1.50,108,0.2892,0.2439,0.3346,0.2907,0.2454,0.336,0.1274,0.3819
plateau_conf2.00_unmeas0.00,12,0.0845,0.0601,0.1089,0.0852,0.0602,0.1101,0.0547,0.1616
plateau_conf2.00_unmeas0.00,36,0.2062,0.1663,0.2462,0.1781,0.146,0.2102,0.1362,0.4006
plateau_conf2.00_unmeas0.00,60,0.2231,0.1764,0.2699,0.2281,0.1869,0.2692,0.1616,0.4626
plateau_conf2.00_unmeas0.00,84,0.2164,0.1682,0.2646,0.2351,0.1927,0.2776,0.1609,0.4702
plateau_conf2.00_unmeas0.00,108,0.1967,0.1487,0.2448,0.1993,0.1515,0.2471,0.1497,0.4299
plateau_conf2.00_unmeas0.75,12,0.0612,0.0309,0.0915,0.0623,0.0315,0.093,0.0592,0.1623
plateau_conf2.00_unmeas0.75,36,0.1909,0.1463,0.2356,0.1616,0.1262,0.1971,0.1358,0.3931
plateau_conf2.00_unmeas0.75,60,0.2207,0.1708,0.2705,0.2282,0.184,0.2725,0.1558,0.4586
plateau_conf2.00_unmeas0.75,84,0.2457,0.1936,0.2978,0.2621,0.2174,0.3067,0.1527,0.4643
plateau_conf2.00_unmeas0.75,108,0.2602,0.2117,0.3087,0.2631,0.2152,0.3111,0.1409,0.4317
plateau_conf2.00_unmeas1.50,12,0.1222,0.0936,0.1508,0.1244,0.0955,0.1533,0.062,0.1948
plateau_conf2.00_unmeas1.50,36,0.2732,0.2269,0.3196,0.2448,0.2082,0.2814,0.1229,0.4155
plateau_conf2.00_unmeas1.50,60,0.322,0.2731,0.371,0.3213,0.2748,0.3679,0.1378,0.4629
plateau_conf2.00_unmeas1.50,84,0.3415,0.2923,0.3908,0.354,0.3082,0.3999,0.1363,0.4809
plateau_conf2.00_unmeas1.50,108,0.3475,0.3008,0.3942,0.3429,0.2965,0.3893,0.1284,0.4692
reversal_conf0.00_unmeas0.00,12,0.0657,0.0393,0.0921,0.0675,0.0411,0.0939,0.0774,0.06
reversal_conf0.00_unmeas0.00,36,0.1614,0.122,0.2009,0.0959,0.0666,0.1252,0.165,0.1512
reversal_conf0.00_unmeas0.00,60,0.0824,0.0409,0.1238,0.0895,0.053,0.1261,0.0902,0.065
reversal_conf0.00_unmeas0.00,84,0.0095,-0.0314,0.0503,0.0483,0.0127,0.0839,-0.0155,-0.0041
reversal_conf0.00_unmeas0.00,108,-0.0314,-0.0687,0.0059,-0.0278,-0.065,0.0095,-0.0545,-0.0398
reversal_conf0.00_unmeas0.75,12,0.1065,0.0798,0.1332,0.1089,0.0822,0.1357,0.0773,0.1067
reversal_conf0.00_unmeas0.75,36,0.2234,0.1835,0.2633,0.1498,0.1195,0.18,0.1611,0.2324
reversal_conf0.00_unmeas0.75,60,0.161,0.1173,0.2046,0.1414,0.1041,0.1786,0.0882,0.1726
reversal_conf0.00_unmeas0.75,84,0.0226,-0.0178,0.0629,0.0837,0.0484,0.1191,-0.0152,0.0366
reversal_conf0.00_unmeas0.75,108,-0.0274,-0.063,0.0083,-0.0232,-0.0588,0.0124,-0.0542,-0.0132
reversal_conf0.00_unmeas1.50,12,0.1842,0.155,0.2134,0.1895,0.1602,0.2187,0.0856,0.1814
reversal_conf0.00_unmeas1.50,36,0.3126,0.2737,0.3516,0.2345,0.2034,0.2657,0.1445,0.3094
reversal_conf0.00_unmeas1.50,60,0.2387,0.1958,0.2817,0.2274,0.1892,0.2656,0.0763,0.2317
reversal_conf0.00_unmeas1.50,84,0.1017,0.0593,0.1442,0.1682,0.1303,0.2061,-0.0136,0.0957
reversal_conf0.00_unmeas1.50,108,0.0532,0.0128,0.0936,0.0569,0.0165,0.0972,-0.0511,0.048
reversal_conf0.50_unmeas0.00,12,0.0764,0.0504,0.1025,0.0791,0.053,0.1052,0.0741,0.1057
reversal_conf0.50_unmeas0.00,36,0.1563,0.1173,0.1953,0.0945,0.0644,0.1246,0.1613,0.2409
reversal_conf0.50_unmeas0.00,60,0.085,0.0426,0.1274,0.0785,0.0413,0.1156,0.0902,0.1864
reversal_conf0.50_unmeas0.00,84,-0.0213,-0.0625,0.02,0.0311,-0.0044,0.0665,-0.0159,0.0683
reversal_conf0.50_unmeas0.00,108,-0.0487,-0.0861,-0.0112,-0.0477,-0.0851,-0.0103,-0.057,0.0214
reversal_conf0.50_unmeas0.75,12,0.0898,0.0642,0.1153,0.0914,0.0659,0.117,0.0763,0.112
reversal_conf0.50_unmeas0.75,36,0.2193,0.1791,0.2595,0.147,0.1173,0.1767,0.1603,0.2755
reversal_conf0.50_unmeas0.75,60,0.1504,0.1074,0.1934,0.1503,0.1128,0.1877,0.088,0.2177
reversal_conf0.50_unmeas0.75,84,0.0603,0.0196,0.1011,0.1012,0.0648,0.1377,-0.0153,0.1196
reversal_conf0.50_unmeas0.75,108,-0.0036,-0.0403,0.0332,-0.0001,-0.0368,0.0366,-0.0553,0.0474
reversal_conf0.50_unmeas1.50,12,0.1651,0.1373,0.193,0.1695,0.1416,0.1973,0.0837,0.1868
reversal_conf0.50_unmeas1.50,36,0.3319,0.2919,0.3718,0.2543,0.2228,0.2857,0.1466,0.3787
reversal_conf0.50_unmeas1.50,60,0.2726,0.2285,0.3167,0.2746,0.2354,0.3138,0.0764,0.3236
reversal_conf0.50_unmeas1.50,84,0.1812,0.1379,0.2245,0.2305,0.1914,0.2696,-0.0136,0.2326
reversal_conf0.50_unmeas1.50,108,0.1193,0.0779,0.1607,0.122,0.0806,0.1633,-0.0516,0.1629
reversal_conf1.00_unmeas0.00,12,0.0651,0.0388,0.0914,0.0639,0.0375,0.0904,0.0751,0.1349
reversal_conf1.00_unmeas0.00,36,0.1809,0.1402,0.2216,0.1034,0.0737,0.133,0.1638,0.3235
reversal_conf1.00_unmeas0.00,60,0.1142,0.0695,0.1588,0.0996,0.0626,0.1367,0.0915,0.2856
reversal_conf1.00_unmeas0.00,84,-0.0012,-0.0422,0.0398,0.0528,0.0164,0.0892,-0.0159,0.1451
reversal_conf1.00_unmeas0.00,108,-0.0438,-0.0815,-0.0061,-0.0372,-0.0749,0.0004,-0.056,0.0681
reversal_conf1.00_unmeas0.75,12,0.1192,0.0917,0.1468,0.1191,0.0914,0.1468,0.0779,0.1703
reversal_conf1.00_unmeas0.75,36,0.2501,0.2079,0.2922,0.1919,0.1601,0.2236,0.1579,0.3824
reversal_conf1.00_unmeas0.75,60,0.2054,0.1598,0.251,0.1979,0.1585,0.2373,0.0865,0.3737
reversal_conf1.00_unmeas0.75,84,0.0943,0.0505,0.1381,0.1372,0.0989,0.1754,-0.0151,0.2381
reversal_conf1.00_unmeas0.75,108,0.0031,-0.0357,0.042,0.0096,-0.0291,0.0484,-0.0547,0.125
reversal_conf1.00_unmeas1.50,12,0.1627,0.1328,0.1925,0.1652,0.1353,0.1951,0.0839,0.2054
reversal_conf1.00_unmeas1.50,36,0.313,0.2707,0.3554,0.2383,0.2051,0.2716,0.1479,0.4009
reversal_conf1.00_unmeas1.50,60,0.2774,0.2316,0.3231,0.256,0.2154,0.2966,0.0778,0.3825
reversal_conf1.00_unmeas1.50,84,0.1554,0.1107,0.2002,0.2181,0.1784,0.2579,-0.0138,0.2419
reversal_conf1.00_unmeas1.50,108,0.1173,0.0762,0.1585,0.1247,0.0837,0.1658,-0.052,0.179
reversal_conf2.00_unmeas0.00,12,0.0964,0.0736,0.1192,0.0977,0.0743,0.1212,0.0722,0.175
reversal_conf2.00_unmeas0.00,36,0.2188,0.175,0.2625,0.1391,0.1081,0.17,0.1605,0.4329
reversal_conf2.00_unmeas0.00,60,0.1611,0.1141,0.2081,0.1255,0.0853,0.1658,0.0911,0.4219
reversal_conf2.00_unmeas0.00,84,0.0065,-0.0365,0.0496,0.0571,0.018,0.0963,-0.0159,0.25
